Day,Month,Year,Mean Temp,Max Temp,Min Temp,Humidity,Dew Point,Pressure,heat,wet
1,8,2023,29.5,33.0,27.0,75,24.0,1010,NO,NO
2,8,2023,30.5,34.0,28.0,85,26.0,1008,YES,YES
3,8,2023,31.0,35.0,29.0,78,25.5,1009,YES,NO
4,8,2023,28.0,31.0,26.0,80,23.5,1011,NO,YES
5,8,2023,27.5,30.5,25.0,70,22.0,1012,NO,NO
6,8,2023,32.0,36.0,30.0,82,27.0,1007,YES,YES
7,8,2023,29.0,32.5,26.5,77,24.5,1010,NO,NO
8,8,2023,30.0,33.5,27.5,83,25.0,1009,YES,YES
9,8,2023,28.5,31.5,26.0,79,23.8,1011,NO,YES
10,8,2023,31.5,35.0,29.0,81,26.5,1008,YES,YES
11,8,2023,27.0,30.0,25.0,68,21.5,1013,NO,NO
12,8,2023,33.0,37.0,31.0,84,28.0,1006,YES,YES
13,8,2023,26.5,29.5,24.5,72,22.0,1012,NO,NO
14,8,2023,28.0,31.0,26.0,78,23.0,1010,NO,NO
15,8,2023,30.0,34.0,28.0,80,25.0,1009,YES,YES
